epoch,uptime,cpu0,cluster0,cluster1,cpu7_top,cpu7_bot,gpu_top,mem,gpu_bot,battery,gpu_mhz,silver_mhz,gold_mhz,prime_mhz
1779387827,33,55,59,61,71,69,49,52,50,34,800,979,2419,2841
1779387828,34,56,58,60,67,66,49,51,50,34,800,1804,2419,2841
1779387829,35,56,58,60,67,66,48,50,49,34,800,1248,2419,2841
1779387830,36,57,59,61,68,67,48,51,50,34,800,1248,2419,2841
1779387831,38,55,58,60,67,66,49,51,49,34,800,1171,2419,2841
1779387832,39,56,59,61,71,70,48,51,49,34,800,883,2419,2841
1779387834,40,67,69,72,73,74,49,54,51,34,800,1804,2419,2841
1779387835,41,70,73,75,79,77,50,55,53,34,800,1804,2419,2841
1779387836,42,72,74,77,80,79,51,56,54,34,800,1804,2419,2841
1779387837,43,71,74,77,81,79,52,57,54,33,800,1804,2419,2841
1779387838,44,72,74,77,80,78,52,57,55,33,800,1804,2419,2841
1779387839,46,72,75,77,79,80,52,57,55,33,800,1804,2419,2841
1779387841,47,73,75,78,83,82,52,58,56,33,800,1804,2419,2841
1779387842,48,74,76,79,85,83,53,58,56,33,800,1804,2419,2841
1779387843,49,73,76,79,83,82,54,58,56,33,800,1804,2419,2841
1779387844,50,74,77,79,83,81,53,58,56,33,800,1804,2419,2841
1779387845,51,73,76,79,84,82,54,59,56,33,800,1804,2419,2841
1779387846,52,73,77,79,83,82,54,59,57,33,800,1804,2419,2841
1779387848,54,71,74,78,85,83,54,59,56,33,800,1248,2419,2841
1779387849,55,63,66,67,75,74,52,56,54,33,800,1804,2419,2841
1779387850,56,63,65,68,76,74,51,55,53,33,800,1516,2419,2841
1779387851,57,60,62,63,71,70,50,54,52,33,800,1420,2419,2841
1779387852,58,58,60,61,71,69,50,53,52,33,800,1708,2419,2841
1779387853,59,57,59,61,69,68,50,53,51,33,800,1344,2419,2841
1779387854,60,58,60,61,70,68,50,52,51,33,800,1171,2419,2841
1779387855,61,57,59,61,69,68,49,52,50,33,800,1171,2419,2841
1779387856,62,57,59,60,69,68,49,52,50,33,800,1075,2419,2841
1779387857,63,56,59,60,68,67,49,52,50,33,800,1075,2419,2841
1779387858,64,57,59,60,69,68,49,52,50,33,800,1516,2419,2841
1779387859,66,57,59,61,68,67,49,52,50,33,800,1516,2419,2841
1779387860,67,57,59,60,68,68,49,52,50,33,800,1420,2419,2841
1779387862,68,59,61,63,71,69,49,52,50,33,800,1171,2419,2841
1779387863,69,58,61,63,70,69,49,52,51,33,800,1248,2419,2841
1779387864,70,60,62,63,71,70,50,53,51,33,800,1075,2419,2841
1779387865,71,64,66,68,74,72,51,54,52,33,800,1804,2419,2841
1779387866,72,63,65,67,71,73,54,55,54,33,800,1804,2419,2841
1779387867,73,66,68,70,74,72,54,56,55,33,800,1804,2419,2841
1779387868,74,64,68,70,77,75,54,56,56,33,800,1344,2419,2841
1779387869,75,66,68,71,78,76,54,57,55,33,800,1171,2419,2841
1779387870,76,61,63,65,72,68,52,55,53,33,800,1248,2419,2841
1779387871,77,63,64,66,72,71,51,54,52,33,800,1804,2419,2841
1779387872,79,60,63,64,72,70,51,54,52,33,800,1248,2419,2841
1779387874,80,63,64,66,72,72,51,54,53,33,800,1804,2419,2841
1779387875,81,62,63,66,72,69,52,54,52,33,800,1516,2419,2841
1779387876,82,62,64,66,72,71,51,54,53,33,800,1804,2419,2841
1779387877,83,60,62,64,72,70,53,54,52,33,800,1420,2419,2841
1779387878,84,61,63,65,73,71,50,53,52,33,800,1708,2419,2841
1779387879,85,59,61,63,71,70,50,52,51,33,800,1420,2419,2841
1779387880,86,61,62,64,70,68,50,53,51,33,800,1708,2419,2841
1779387881,87,62,64,66,72,71,50,53,52,33,800,1612,2419,2841
1779387882,88,63,65,67,73,72,50,54,52,33,800,1708,2419,2841
1779387883,89,62,63,65,72,71,50,54,52,33,800,1804,2419,2841
1779387884,90,62,64,66,73,71,49,53,50,33,800,1804,2419,2841
1779387885,92,63,66,67,73,71,53,56,54,33,800,1248,2419,2841
1779387887,93,63,65,67,73,73,55,57,56,33,800,1804,2419,2841
1779387888,94,63,66,68,74,73,55,57,56,33,800,1804,2419,2841
1779387889,95,64,66,68,74,71,52,56,54,33,800,1171,2419,2841
1779387890,96,65,66,69,76,74,56,57,56,33,800,1804,2419,2841
1779387891,97,67,68,70,76,73,54,57,55,33,800,1804,2419,2841
1779387892,98,66,68,70,77,76,55,57,56,33,800,1804,2419,2841
1779387893,99,66,68,69,77,75,56,57,56,33,800,1516,2419,2841
1779387894,100,66,67,69,77,75,55,57,56,33,800,1804,2419,2841
1779387895,101,65,67,69,77,74,54,57,56,33,800,1804,2419,2841
1779387896,102,64,66,69,75,74,55,57,56,33,800,1804,2419,2841
1779387897,104,66,69,72,77,76,56,58,57,33,800,1804,2419,2841
1779387898,105,66,68,70,77,76,56,58,57,33,800,1804,2419,2841
1779387900,106,67,69,72,78,77,56,58,57,33,800,1804,2419,2841
1779387901,107,68,70,72,79,77,56,58,57,33,800,1804,2419,2841
1779387902,108,68,70,72,78,77,56,58,58,33,800,1420,2419,2841
1779387903,109,67,70,71,79,76,57,59,57,33,800,1804,2419,2841
1779387904,110,67,70,72,78,74,55,59,57,33,800,1516,2419,2841
1779387905,111,68,69,71,79,75,56,59,58,33,800,1344,2419,2841
1779387906,112,68,70,72,77,75,54,58,57,33,800,1804,2419,2841
1779387907,113,67,69,72,79,77,55,58,57,33,800,1804,2419,2841
1779387908,114,69,71,73,79,78,55,59,57,33,800,1804,2419,2841
1779387909,115,68,72,73,80,79,55,59,57,33,800,1708,2419,2841
1779387910,117,69,71,73,79,78,55,59,58,33,800,1804,2419,2841
1779387912,118,68,70,73,79,78,55,59,57,33,800,1171,2419,2841
1779387913,119,69,71,73,80,77,56,59,57,33,800,1804,2419,2841
1779387914,120,69,72,74,79,78,55,58,57,33,800,1804,2419,2841
1779387915,121,68,71,73,79,78,56,59,58,33,800,1804,2419,2841
1779387916,122,70,71,73,80,79,56,59,57,33,800,1804,2419,2841
1779387917,123,69,72,74,80,78,55,59,58,33,800,1804,2419,2841
1779387918,124,70,72,74,80,79,56,59,57,33,800,1804,2419,2841
1779387919,125,70,72,75,81,79,57,60,58,33,800,1708,2419,2841
1779387920,126,70,72,74,80,79,56,59,57,33,800,1804,2419,2841
1779387921,127,70,72,74,81,79,57,59,57,33,800,1804,2419,2841
1779387922,129,70,72,74,81,79,57,59,58,33,800,1804,2419,2841
1779387923,130,70,72,74,80,79,58,59,59,33,800,1804,2419,2841
1779387925,131,69,72,74,81,80,55,60,58,33,800,1804,2419,2841
1779387926,132,70,73,75,80,78,57,59,57,33,800,1804,2419,2841
1779387927,133,70,73,75,80,79,57,59,58,33,800,1804,2419,2841
1779387928,134,70,73,75,81,79,57,60,58,33,800,1804,2419,2841
1779387929,135,70,73,75,81,79,57,60,58,33,800,1804,2419,2841
1779387930,136,70,73,75,81,79,57,60,58,33,800,1804,2419,2841
1779387931,137,70,72,75,81,79,57,60,58,33,800,1804,2419,2841
1779387932,138,71,73,75,81,79,58,61,59,33,800,1804,2419,2841
1779387933,139,71,74,77,80,79,56,60,59,33,800,1804,2419,2841
1779387934,140,72,74,76,81,80,59,61,59,33,800,1804,2419,2841
1779387935,142,69,72,74,81,79,59,61,59,33,800,1708,2419,2841
1779387937,143,70,73,74,81,80,58,60,59,33,800,1804,2419,2841
1779387938,144,70,73,75,81,80,59,61,59,33,800,1612,2419,2841
1779387939,145,70,72,74,81,79,57,60,59,33,800,1804,2419,2841
1779387940,146,70,73,75,82,80,58,60,59,33,800,1804,2419,2841
1779387941,147,70,72,75,82,79,57,60,59,33,800,1804,2419,2841
1779387942,148,71,73,76,82,80,58,61,59,33,800,1804,2419,2841
1779387943,149,69,71,73,81,77,57,60,59,33,800,1804,2419,2841
1779387944,150,70,71,73,81,78,57,60,58,33,800,1804,2419,2841
1779387945,151,69,71,73,81,79,57,60,58,33,800,1708,2419,2841
1779387946,152,70,72,74,81,80,57,60,58,33,800,1804,2419,2841
1779387947,154,69,72,74,81,79,57,60,59,33,800,1804,2419,2841
1779387949,155,68,70,72,79,78,58,60,59,33,800,1804,2419,2841
1779387950,156,69,71,72,79,78,57,59,58,33,800,1516,2419,2841
1779387951,157,68,70,72,79,79,57,59,58,33,800,1612,2419,2841
1779387952,158,68,71,72,80,78,56,59,58,33,800,1804,2419,2841
1779387953,159,67,69,72,79,77,57,59,58,33,800,1708,2419,2841
1779387954,160,66,69,72,78,77,58,59,58,33,800,1344,2419,2841
1779387955,161,67,69,71,79,77,58,59,58,33,800,1708,2419,2841
1779387956,162,67,69,71,79,77,57,59,58,33,800,1344,2419,2841
1779387957,163,66,69,70,79,77,57,59,58,33,800,1708,2419,2841
1779387958,164,67,70,71,79,77,57,59,58,33,800,1708,2419,2841
1779387959,165,66,68,70,78,75,57,59,58,33,800,1708,2419,2841
1779387960,167,68,70,72,81,78,57,59,57,33,800,1804,2419,2841
