epoch,uptime,cpu0,cluster0,cluster1,cpu7_top,cpu7_bot,gpu_top,mem,gpu_bot,battery,gpu_mhz,silver_mhz,gold_mhz,prime_mhz
1779384149,1258,32,32,33,33,33,31,31,30,28,800,1171,940,960
1779384150,1259,32,33,34,33,35,31,31,30,28,800,1804,2419,2841
1779384151,1260,33,33,34,33,33,30,31,30,28,800,1804,1056,960
1779384152,1261,37,38,39,37,37,31,32,31,28,800,1804,1286,1190
1779384153,1263,34,34,35,34,34,31,31,31,28,800,979,940,844
1779384154,1264,35,37,38,45,42,31,32,31,28,800,1804,1056,2553
1779384155,1265,39,42,45,52,50,32,33,32,28,800,1804,2419,2841
1779384156,1266,38,40,41,39,39,34,35,33,28,800,1804,2419,844
1779384157,1267,37,40,41,46,45,32,34,33,28,800,1804,1382,2841
1779384158,1268,51,54,56,60,58,36,39,37,28,800,1612,2419,2841
1779384160,1269,52,54,57,61,60,37,40,38,28,800,1804,2419,2841
1779384161,1270,45,48,50,58,56,38,41,39,28,800,1171,2246,2841
1779384162,1271,43,46,48,55,54,36,39,37,28,800,1804,2419,2841
1779384163,1272,45,47,49,55,54,36,39,37,28,800,1804,2419,2841
1779384164,1273,44,46,48,55,54,36,39,37,28,800,1248,2419,2841
1779384165,1274,45,46,48,55,54,36,39,37,28,800,979,2419,2841
1779384166,1276,44,46,48,55,54,37,39,37,28,800,1075,2419,2841
1779384167,1277,52,54,57,59,58,37,40,38,28,800,1804,2419,2841
1779384168,1278,56,58,61,65,64,38,43,40,28,800,1804,2419,2841
1779384170,1279,58,60,62,66,64,39,44,42,28,800,1804,2419,2841
1779384171,1280,57,61,64,67,64,40,44,42,28,800,1804,2419,2841
1779384172,1282,58,61,64,68,66,40,45,43,28,800,1804,2419,2841
1779384173,1283,60,62,65,68,67,41,45,43,28,800,1804,2419,2841
1779384174,1284,60,63,65,70,67,41,46,44,28,800,1804,2419,2841
1779384176,1285,61,63,66,68,68,41,46,44,28,800,1804,2419,2841
1779384177,1286,61,63,66,68,67,42,46,44,28,800,1804,2419,2841
1779384178,1288,61,63,66,70,69,42,47,44,28,800,1804,2419,2841
1779384179,1289,62,64,67,69,68,42,47,45,28,800,1804,2419,2841
1779384180,1290,61,64,66,70,68,43,47,45,28,800,1804,2419,2841
1779384182,1291,61,63,66,72,68,43,47,45,28,800,1804,2419,2841
1779384183,1292,52,54,56,63,62,42,46,44,29,800,1075,2419,2841
1779384184,1293,52,54,55,62,60,41,44,42,28,800,1075,2419,2841
1779384185,1294,49,51,53,61,59,40,44,42,28,800,1420,1862,2841
1779384186,1296,48,50,51,59,57,40,43,42,28,800,1420,1766,2841
1779384187,1297,47,49,50,57,56,39,42,40,28,800,1708,2419,2841
1779384188,1298,46,48,50,57,56,39,42,40,28,800,979,2150,2841
1779384189,1299,46,48,49,57,56,39,41,40,28,800,1075,1670,2841
1779384190,1300,46,48,50,57,56,39,42,40,28,800,1248,1574,2841
1779384191,1301,46,48,50,57,56,39,42,40,28,800,1248,1382,2841
1779384193,1302,46,48,49,56,55,39,41,40,28,800,1248,1862,2841
1779384194,1303,45,48,49,57,55,39,41,40,28,800,1248,2054,2841
1779384195,1304,46,48,49,57,55,39,41,40,28,800,1804,1670,2841
1779384196,1305,46,48,50,57,56,39,41,40,28,800,1344,1382,2841
1779384197,1306,48,50,52,58,57,39,41,40,28,800,1420,2342,2841
1779384198,1308,50,52,54,59,58,39,42,40,28,800,1612,1574,2841
1779384199,1309,51,53,54,60,59,39,42,41,28,800,1708,2419,2841
1779384200,1310,50,52,53,60,57,40,42,41,28,800,1804,2419,2841
1779384201,1311,53,55,57,62,61,44,44,43,28,800,1804,2419,2649
1779384202,1312,54,56,58,63,62,44,46,45,28,800,1804,2419,2841
1779384203,1313,51,53,54,62,61,41,45,43,28,800,1516,1862,2841
1779384204,1314,51,52,54,61,60,41,44,42,28,800,1171,1766,2841
1779384206,1315,50,52,54,61,59,41,44,42,28,800,1248,2419,2841
1779384207,1316,48,50,52,59,58,42,44,42,28,800,1248,1766,2841
1779384208,1317,50,52,54,60,59,43,44,42,28,800,1516,2419,2841
1779384209,1318,50,52,54,61,57,42,44,42,28,800,1612,2342,2841
1779384210,1319,50,52,54,61,57,42,44,42,28,800,1804,2246,2841
1779384211,1320,50,52,53,60,58,43,44,43,28,800,1171,2419,2841
1779384212,1322,50,52,53,60,59,40,43,42,28,800,1171,1574,2841
1779384213,1323,48,50,51,59,57,40,43,42,28,800,1612,1478,2841
1779384214,1324,51,53,54,61,59,40,43,42,28,800,1516,2419,2841
1779384215,1325,53,54,56,62,61,41,44,42,28,800,1612,2419,2841
1779384216,1326,54,55,57,61,60,41,44,42,28,800,1612,2342,2841
1779384217,1327,52,55,56,63,62,40,44,42,28,800,1804,2419,2841
1779384219,1328,50,52,55,61,59,41,43,42,28,800,1708,1670,2841
1779384220,1329,53,55,57,61,61,44,45,45,28,800,1804,2419,2841
1779384221,1330,52,54,57,63,61,45,46,45,28,800,1804,2419,2841
1779384222,1331,54,56,57,61,61,46,47,46,28,800,1804,2419,2841
1779384223,1332,54,56,57,63,61,45,47,45,28,800,1516,2246,2841
1779384224,1333,54,57,59,63,61,46,47,47,28,800,1804,2342,2841
1779384225,1335,54,57,59,64,63,46,47,46,28,800,1344,2342,2841
1779384226,1336,55,56,58,64,64,47,47,47,28,800,1804,2419,2841
1779384227,1337,53,55,57,64,63,47,48,48,28,800,1804,2342,2841
1779384228,1338,55,59,61,65,64,47,47,46,29,800,1804,2054,2841
1779384229,1339,55,57,60,66,65,47,48,48,29,800,1612,2419,2841
1779384231,1340,57,59,61,66,65,51,49,49,29,800,1804,2419,2841
1779384232,1341,57,60,63,67,66,46,48,48,29,800,1171,2419,2841
1779384233,1342,55,59,59,67,65,46,49,47,29,800,1516,2246,2841
1779384234,1343,57,60,61,65,66,48,49,48,29,800,1804,2419,2841
1779384235,1344,58,60,62,68,66,48,50,48,29,800,1804,2419,2841
1779384236,1346,57,60,62,68,66,48,50,49,29,800,1804,2419,2841
1779384237,1347,57,60,62,67,66,47,50,49,29,800,1804,2419,2841
1779384238,1348,58,61,63,69,67,48,50,49,29,800,1612,2419,2841
1779384239,1349,60,61,63,68,68,49,50,49,29,800,1804,2419,2841
1779384240,1350,59,61,63,68,67,48,50,49,29,800,1804,2419,2841
1779384241,1351,57,60,61,67,66,48,50,49,29,800,1804,2419,2841
1779384243,1352,53,55,56,64,63,45,48,47,29,800,1804,1171,2841
1779384244,1353,51,53,54,61,60,44,46,45,29,800,1804,1171,2841
1779384245,1354,48,51,52,60,59,43,45,44,29,800,1804,1382,2841
1779384246,1355,48,50,51,59,58,43,45,44,29,800,1804,1478,2841
1779384247,1356,48,50,51,59,58,43,44,43,29,800,1804,1171,2841
1779384248,1357,48,50,50,58,57,42,44,43,29,800,1804,1056,2841
1779384249,1358,48,50,50,59,57,42,44,42,29,800,1804,1171,2841
1779384250,1359,46,48,49,57,56,40,42,41,29,800,1075,1056,2841
1779384251,1361,46,48,48,57,55,39,42,40,29,800,1075,1171,2841
1779384252,1362,46,47,48,57,55,39,42,40,29,800,1171,1286,2841
1779384253,1363,45,47,48,56,55,39,42,40,29,800,1708,1286,2841
1779384254,1364,46,47,48,57,55,39,42,40,29,800,1075,1171,2841
1779384255,1365,45,47,48,56,55,39,41,40,29,800,1344,1171,2841
