epoch,uptime,cpu0,cluster0,cluster1,cpu7_top,cpu7_bot,gpu_top,mem,gpu_bot,battery,gpu_mhz,silver_mhz,gold_mhz,prime_mhz
1779383170,280,55,56,59,66,65,47,49,48,30,800,1612,2150,2841
1779383171,281,54,57,58,64,61,47,49,48,30,800,1420,2419,2841
1779383172,282,56,58,60,67,65,48,50,49,30,800,1516,2342,2841
1779383174,283,56,59,61,67,66,47,50,49,30,800,1804,1670,2841
1779383175,284,57,59,62,68,67,50,50,49,30,800,1248,2150,2841
1779383176,285,57,59,61,67,66,50,50,49,30,800,1420,2150,2841
1779383177,286,55,57,58,66,64,47,50,48,30,800,1344,1382,2841
1779383178,287,56,58,60,67,66,46,49,47,30,800,1612,2150,2841
1779383179,288,55,57,59,66,64,45,49,47,30,800,1516,2150,2841
1779383180,290,59,61,63,68,67,46,49,48,30,800,1516,2054,2841
1779383181,291,59,60,62,69,66,46,49,47,30,800,1612,2246,2841
1779383182,292,59,61,63,68,67,46,49,48,30,800,1516,2419,2841
1779383183,293,55,57,58,65,64,46,49,47,30,800,1804,2419,2841
1779383184,294,57,59,61,68,66,49,50,48,30,800,1804,2419,2841
1779383185,295,59,61,63,69,67,50,51,51,30,800,1804,2419,2841
1779383186,296,60,62,65,70,69,52,53,53,30,800,1516,2419,2841
1779383188,297,60,62,64,71,70,56,54,54,30,800,1804,2419,2841
1779383189,298,59,62,64,72,69,48,52,50,30,800,1344,2419,2841
1779383190,299,60,62,65,70,69,52,52,51,30,800,1804,2419,2841
1779383191,300,61,64,65,72,71,52,54,52,30,800,1804,2419,2841
1779383192,301,61,63,64,70,69,49,52,50,30,800,1804,2246,2841
1779383193,303,61,63,65,72,71,50,53,51,30,800,1804,2419,2841
1779383194,304,61,63,63,71,70,50,53,52,30,800,1804,2419,2841
1779383195,305,62,64,66,73,72,52,54,53,30,800,1804,2419,2841
1779383196,306,63,65,67,73,72,53,54,53,30,800,1420,2246,2841
1779383197,307,62,64,66,73,71,53,54,53,30,800,1516,2419,2841
1779383198,308,63,66,68,73,72,53,54,53,30,800,1804,2419,2841
1779383200,309,62,64,66,73,71,52,54,53,30,800,1516,2419,2841
1779383201,310,63,65,67,72,72,52,54,54,30,800,1804,2419,2841
1779383202,311,62,66,68,73,72,53,54,53,30,800,1804,2419,2841
1779383203,312,63,65,66,73,72,52,54,53,30,800,1420,2419,2841
1779383204,313,63,65,68,73,72,53,54,53,30,800,1708,2342,2841
1779383205,315,63,65,68,74,72,52,54,53,30,800,1420,2419,2841
1779383206,316,64,66,68,73,73,53,54,53,30,800,1804,2419,2841
1779383207,317,64,66,69,74,73,51,54,52,30,800,1804,2419,2841
1779383208,318,64,66,69,73,73,51,54,52,30,800,1804,2419,2841
1779383209,319,63,66,68,74,73,52,55,53,30,800,1804,2419,2841
1779383210,320,63,66,68,75,73,52,54,52,30,800,1804,2419,2841
1779383212,321,64,66,68,74,73,52,54,53,30,800,1612,2419,2841
1779383213,322,64,66,68,75,73,52,55,54,30,800,1804,2419,2841
1779383214,323,65,66,69,74,73,52,54,53,30,800,1804,2419,2841
1779383215,324,64,67,68,74,73,51,54,53,30,800,1804,2419,2841
1779383216,325,64,66,68,73,72,52,55,54,30,800,1804,2419,2361
1779383217,327,64,66,68,74,73,52,55,53,30,800,1804,2419,2841
1779383218,328,66,67,69,75,73,51,55,53,30,800,1804,2419,2841
1779383219,329,64,66,69,74,73,52,55,54,30,800,1804,2419,2841
1779383220,330,65,66,69,73,73,52,56,54,30,800,1804,2419,2841
1779383221,331,64,66,68,74,73,53,55,54,30,800,1804,2419,2841
1779383222,332,63,65,66,73,72,52,55,54,30,800,1804,2246,2841
1779383224,333,64,64,67,72,70,51,54,53,30,800,1344,2419,2073
1779383225,334,64,65,67,67,68,51,54,53,30,800,1708,2419,2361
1779383226,335,63,67,69,74,72,52,54,53,30,800,1804,2419,2841
1779383227,336,59,61,62,70,69,49,52,51,30,800,1804,2419,2841
1779383228,337,58,60,61,70,68,48,52,50,30,800,1804,2419,2841
1779383229,338,61,63,65,72,71,48,51,50,30,800,1804,2419,2841
1779383230,340,57,58,61,69,68,48,51,49,30,800,1804,2419,2841
1779383231,341,57,59,61,70,68,48,50,49,30,800,1804,2419,2841
1779383232,342,59,60,63,70,68,48,51,49,30,800,1804,2419,2841
1779383233,343,57,58,60,70,68,48,50,49,30,800,1804,2419,2841
1779383234,344,57,59,61,70,68,48,50,49,30,800,1804,2419,2841
1779383235,345,55,58,59,69,67,47,50,49,30,800,1804,2419,2841
1779383236,346,57,59,61,69,68,47,50,49,30,800,1804,2419,2841
1779383237,347,56,58,60,69,67,48,50,49,30,800,1804,2419,2841
1779383238,348,56,58,59,69,65,47,50,49,30,800,1804,2419,2841
1779383240,349,56,58,60,70,65,46,49,47,30,800,1075,2419,2841
