epoch,uptime,cpu0,cluster0,cluster1,cpu7_top,cpu7_bot,gpu_top,mem,gpu_bot,battery,gpu_mhz,silver_mhz,gold_mhz,prime_mhz
1779387384,112,58,61,62,71,69,50,52,50,33,800,1708,2419,2841
1779387385,113,58,60,63,68,67,49,52,50,32,800,1516,2419,2841
1779387386,114,60,61,63,73,70,51,52,51,32,800,1344,2419,2841
1779387387,115,60,62,65,72,70,51,53,51,32,800,1516,2419,2841
1779387388,116,59,61,63,70,69,50,52,51,32,800,1516,2419,2841
1779387389,118,57,59,61,69,68,49,52,50,32,800,1171,2419,2841
1779387390,119,60,63,64,70,70,48,52,50,32,800,1344,2419,2841
1779387392,120,59,60,61,68,68,48,51,50,32,800,1612,2419,2841
1779387393,121,62,63,66,72,70,48,52,50,32,800,1804,2419,2841
1779387394,122,61,63,65,71,69,49,52,50,32,800,1708,2419,2841
1779387395,123,63,64,66,72,71,49,52,51,32,800,1804,2419,2841
1779387396,124,59,60,62,70,68,48,52,50,32,800,1420,2419,2841
1779387397,125,61,63,66,71,69,51,53,52,32,800,1612,2419,2841
1779387398,126,61,64,66,72,71,54,54,54,32,800,1248,2419,2841
1779387399,127,61,64,66,73,72,55,55,54,32,800,1516,2419,2841
1779387400,128,61,63,64,73,72,50,54,52,32,800,1344,2419,2841
1779387401,129,61,66,68,74,72,53,55,54,32,800,1804,2419,2841
1779387402,131,64,66,68,75,73,53,56,54,32,800,1804,2419,2841
1779387403,132,65,68,71,75,75,52,56,54,32,800,1804,2419,2841
1779387405,133,65,66,68,75,74,53,56,55,32,800,1708,2419,2841
1779387406,134,64,66,68,75,74,52,56,54,32,800,1804,2419,2841
1779387407,135,63,64,67,75,73,54,56,55,32,800,1708,2419,2841
1779387408,136,63,66,68,76,73,54,56,55,32,800,1708,2419,2841
1779387409,137,64,66,69,77,75,54,56,55,32,800,1804,2419,2841
1779387410,138,65,67,70,75,75,55,57,57,32,800,1804,2419,2841
1779387411,139,66,70,71,77,76,55,57,56,32,800,1248,2419,2841
1779387412,140,66,68,71,77,75,55,57,57,32,800,1804,2419,2841
