epoch,uptime,cpu0,cluster0,cluster1,cpu7_top,cpu7_bot,gpu_top,mem,gpu_bot,battery,gpu_mhz,silver_mhz,gold_mhz,prime_mhz
1779384951,55,34,34,34,34,34,33,33,32,29,800,1075,710,960
1779384952,57,34,34,34,34,34,33,33,32,29,800,883,825,1075
1779384953,58,34,34,34,34,34,33,33,33,29,800,787,940,1190
1779384955,59,35,35,36,36,35,32,32,32,29,800,1708,1056,1075
1779384956,60,34,35,35,35,35,32,32,32,29,800,1804,1286,1190
1779384957,61,34,35,36,35,35,32,33,32,29,800,883,940,960
1779384958,62,36,36,36,35,35,32,33,32,29,800,1804,1056,1190
1779384959,63,35,36,36,35,35,32,33,32,29,800,1804,2419,844
1779384960,64,35,36,36,36,36,33,33,32,29,800,1804,1574,1075
1779384961,65,41,44,46,52,50,34,36,34,29,800,1075,2054,2841
1779384962,66,40,41,41,40,41,34,36,35,29,800,787,940,960
1779384963,67,41,43,45,50,50,34,36,35,29,800,979,2419,2841
1779384964,69,52,55,58,61,60,38,41,39,29,800,1804,2419,2841
1779384965,70,56,57,61,64,63,39,43,41,29,800,1804,2419,2745
1779384967,71,45,47,48,56,55,39,42,40,29,800,1171,1382,2841
1779384968,72,45,47,48,58,56,39,40,39,29,800,1248,2419,2841
1779384969,73,45,46,47,55,54,38,40,39,29,800,979,1862,2841
1779384970,74,45,48,49,56,55,38,40,39,29,800,1248,2419,2841
1779384971,75,46,48,50,56,56,38,40,39,29,800,883,2419,2841
1779384972,76,46,48,49,56,55,38,40,39,29,800,1171,2419,2841
1779384973,77,46,50,51,58,57,37,40,39,29,800,979,2419,2841
1779384974,78,56,59,61,64,63,39,44,41,29,800,1804,2419,2841
1779384975,80,58,61,64,68,65,41,45,43,29,800,1804,2419,2841
1779384977,81,58,62,65,69,66,41,45,44,29,800,1804,2419,2841
1779384978,82,59,62,65,72,68,42,46,44,29,800,1804,2419,2841
1779384979,83,59,63,65,72,68,42,47,45,29,800,1804,2419,2841
1779384980,84,60,63,66,69,68,43,47,45,29,800,1804,2419,2841
1779384981,86,61,64,67,72,70,43,48,45,29,800,1804,2419,2841
1779384983,87,61,64,67,74,72,43,48,45,29,800,1804,2419,2841
1779384984,88,61,64,67,63,63,43,48,46,29,800,1804,2419,1632
1779384985,89,62,64,67,72,70,43,48,45,29,800,1804,2419,2841
1779384986,90,62,64,67,68,68,43,48,46,29,800,1804,2419,2841
1779384987,91,63,66,68,71,69,44,48,46,29,800,1804,2419,2841
1779384988,93,63,66,68,72,70,44,49,47,29,800,1804,2419,2841
1779384989,94,54,57,59,68,65,43,47,45,29,800,1516,2419,2841
1779384991,95,53,54,57,64,62,42,45,44,29,800,1248,2246,2841
1779384992,96,51,53,54,62,61,42,45,43,29,800,1171,2419,2841
1779384993,97,48,50,52,59,58,41,44,43,29,800,1612,2342,2841
1779384994,98,49,51,52,59,58,41,43,42,29,800,1516,2054,2841
1779384995,99,48,49,50,58,57,41,43,42,29,800,1708,1574,2841
1779384996,100,48,50,50,58,57,41,43,42,29,800,1075,2054,2841
1779384997,101,47,49,50,58,55,40,42,41,29,800,1248,1670,2841
1779384998,102,47,49,51,59,57,40,43,41,29,800,1804,2246,2841
1779384999,103,47,49,50,57,57,40,43,41,29,800,1171,2054,2841
1779385000,104,48,49,50,58,57,40,42,41,29,800,1344,1862,2841
1779385001,105,48,50,50,59,57,40,42,41,29,800,1420,1958,2841
1779385002,107,47,50,51,59,57,40,43,41,29,800,1420,2054,2841
1779385003,108,50,52,54,61,59,40,43,41,29,800,1516,2150,2841
1779385005,109,49,52,53,59,58,40,43,42,29,800,1420,2246,2841
1779385006,110,50,52,53,61,60,41,44,43,29,800,1420,1574,2841
1779385007,111,54,55,56,63,61,41,44,42,29,800,1804,2419,2841
1779385008,112,54,56,58,64,62,45,46,45,29,800,1420,2419,2841
1779385009,113,55,57,59,65,63,44,47,46,29,800,1804,2419,2841
1779385010,114,55,57,59,65,63,46,47,46,29,800,1804,2419,2841
1779385011,115,51,53,55,63,62,43,45,44,29,800,1804,2342,2841
1779385012,116,51,54,55,62,61,43,45,44,29,800,1804,1766,2841
1779385013,117,50,52,53,59,59,42,45,43,29,800,1420,2150,2841
1779385014,119,53,55,56,60,59,43,45,44,29,800,1344,2419,2841
1779385015,120,51,53,56,63,59,43,45,43,29,800,1612,2419,2841
1779385016,121,52,54,56,61,60,42,45,43,29,800,1804,2419,2841
1779385018,122,51,53,55,63,61,43,45,44,29,800,1804,2419,2841
1779385019,123,50,53,54,61,60,43,45,43,29,800,1612,2054,2841
1779385020,124,51,54,55,61,61,42,44,43,29,800,1248,2419,2841
1779385021,125,50,52,53,61,59,41,44,43,29,800,1708,2054,2841
1779385022,126,52,55,57,63,60,42,45,43,29,800,1420,2342,2841
1779385023,127,54,55,57,64,63,42,45,44,29,800,1804,2419,2841
1779385024,128,54,55,57,64,63,43,45,44,29,800,1612,2419,2841
1779385025,129,51,52,54,62,60,42,45,43,29,800,1420,1574,2841
1779385026,130,53,55,57,63,62,45,46,44,29,800,1420,2419,2841
1779385027,131,54,57,59,65,63,46,48,47,29,800,1804,2419,2841
1779385028,133,53,55,57,64,63,46,48,47,29,800,1171,2419,2841
1779385029,134,54,57,58,65,64,46,48,47,29,800,1516,2419,2841
1779385031,135,55,59,61,63,65,47,49,48,29,800,1075,2419,2841
1779385032,136,56,57,59,66,64,47,49,48,29,800,979,2419,2841
1779385033,137,57,59,60,66,65,47,49,48,29,800,1804,2419,2841
1779385034,138,57,61,64,68,67,49,50,49,29,800,1612,2419,2841
1779385035,139,57,59,61,67,66,49,50,49,29,800,1804,2419,2841
1779385036,140,58,59,60,68,66,48,50,49,29,800,1516,2419,2841
1779385037,141,57,61,61,68,66,48,50,49,29,800,1708,2419,2841
1779385038,142,58,61,63,68,66,48,50,49,29,800,1804,2419,2841
1779385039,143,59,62,64,69,68,49,50,49,29,800,1804,2246,2841
1779385040,145,59,61,64,69,68,49,50,49,29,800,1708,2419,2841
1779385041,146,60,62,63,66,66,49,51,50,29,800,1804,2419,2841
1779385043,147,60,62,64,70,69,50,51,50,29,800,1708,2419,2841
1779385044,148,60,62,64,71,69,48,51,50,29,800,1804,2419,2841
1779385045,149,58,62,64,70,69,49,51,50,29,800,1420,2419,2841
1779385046,150,59,62,64,70,68,50,51,50,30,800,1612,2419,2841
1779385047,151,60,62,63,70,68,50,51,50,30,800,1612,2246,2841
1779385048,152,61,63,64,70,68,50,51,50,30,800,1612,2419,2841
1779385049,153,61,63,64,70,69,49,51,50,30,800,1804,2419,2841
1779385050,154,61,63,65,70,70,50,52,50,30,800,1516,2419,2841
1779385051,156,61,63,64,71,69,49,51,50,30,800,1804,2419,2841
1779385052,157,60,63,64,71,70,49,51,50,30,800,1804,2150,2841
1779385054,158,61,63,65,73,71,48,52,50,30,800,1804,2419,2841
1779385055,159,60,62,64,71,69,48,51,50,30,800,1804,2419,2841
1779385056,160,61,64,65,72,70,48,51,50,30,800,1804,2419,2841
1779385057,161,61,63,65,72,70,49,52,50,30,800,1804,2419,2841
1779385058,162,61,63,66,71,70,50,52,51,30,800,1804,2419,2841
1779385059,163,62,64,66,68,67,49,52,50,30,800,1804,2419,2841
1779385060,164,63,64,66,71,69,49,52,50,30,800,1804,2419,2841
1779385061,165,62,63,67,71,70,51,52,52,30,800,1804,2419,2841
1779385062,166,61,63,65,72,70,49,52,51,30,800,1804,2419,2841
1779385063,168,62,65,67,72,71,50,52,51,30,800,1804,2419,2841
1779385064,169,62,64,67,72,70,50,52,51,30,800,1804,2419,2841
1779385066,170,63,65,67,72,70,48,52,50,30,800,1804,2419,2841
1779385067,171,62,64,66,73,70,49,52,50,30,800,1804,2419,2841
1779385068,172,63,65,67,72,71,50,53,51,30,800,1804,2419,2841
1779385069,173,63,66,66,72,71,50,52,50,30,800,1804,2419,2841
1779385070,174,62,65,67,73,72,50,53,51,30,800,1804,2419,2841
1779385071,175,63,65,68,73,72,52,53,52,30,800,1804,2419,2841
1779385072,176,64,65,67,73,72,50,53,51,30,800,1708,2419,2841
1779385073,177,63,65,68,75,73,50,53,52,30,800,1804,2419,2841
1779385074,179,63,66,68,73,72,50,54,52,30,800,1804,2419,2841
1779385075,180,64,66,67,73,71,52,54,52,30,800,1804,2419,2841
1779385076,181,63,65,68,73,72,50,54,52,30,800,1804,2419,2841
1779385078,182,63,66,68,73,72,52,54,53,30,800,1804,2419,2841
1779385079,183,64,66,68,73,72,51,54,53,30,800,1708,2419,2841
1779385080,184,64,67,69,74,72,52,54,53,30,800,1804,2419,2841
1779385081,185,63,66,69,71,72,53,54,53,30,800,1708,2419,2841
1779385082,186,62,64,68,73,72,52,54,53,30,800,1708,2419,2841
1779385083,187,55,57,58,61,61,49,52,50,30,800,1804,1382,2841
1779385084,188,52,53,54,57,57,47,49,48,30,800,1804,1286,2841
1779385085,189,50,52,52,56,56,46,47,46,30,800,1804,1286,2841
1779385086,190,50,51,52,55,55,45,46,45,30,800,1804,1478,2841
1779385087,191,50,51,52,55,55,45,46,45,30,800,1804,2054,2841
1779385088,193,54,55,57,57,58,45,46,45,30,800,1804,2342,2841
1779385089,194,51,52,52,55,55,44,46,45,30,800,1804,1171,2841
1779385090,195,49,51,52,54,54,44,45,44,30,800,1804,1382,2841
1779385092,196,52,52,54,55,55,44,45,44,30,800,1804,2419,2841
1779385093,197,49,50,51,54,54,42,44,43,30,800,1171,1171,2841
