epoch,uptime,cpu0,cluster0,cluster1,cpu7_top,cpu7_bot,gpu_top,mem,gpu_bot,battery,gpu_mhz,silver_mhz,gold_mhz,prime_mhz
1779387092,1941,58,59,61,67,65,46,50,48,33,800,979,2419,2841
1779387093,1942,64,66,69,72,69,47,51,49,33,800,1804,2419,2841
1779387094,1943,67,69,72,75,74,48,52,50,33,800,1804,2419,2841
1779387095,1944,68,71,73,76,77,49,54,51,33,800,1804,2419,2841
1779387096,1945,69,72,74,79,77,50,54,52,33,800,1804,2419,2841
1779387097,1946,70,72,75,78,77,50,55,52,33,800,1804,2419,2841
1779387099,1948,70,72,76,80,79,50,55,53,33,800,1804,2419,2841
1779387100,1949,70,72,75,77,73,51,55,53,32,800,1804,2419,2841
1779387101,1950,71,73,76,79,78,51,56,54,32,800,1804,2419,2841
1779387102,1951,71,73,77,80,80,51,56,54,32,800,1804,2419,2841
1779387103,1952,72,73,76,81,79,51,56,54,32,800,1804,2419,2841
1779387104,1954,72,74,76,81,80,51,56,54,32,800,1804,2419,2841
1779387106,1955,72,73,77,81,78,52,56,54,32,800,1804,2419,2841
1779387107,1956,72,74,77,78,80,52,57,55,32,800,1804,2419,2841
1779387108,1957,68,70,71,77,76,52,56,54,32,800,979,2419,2841
1779387109,1958,63,65,67,74,72,50,54,52,32,800,1248,2419,2841
1779387110,1959,60,63,64,71,70,50,53,51,32,800,1804,2419,2841
1779387111,1960,57,60,61,70,68,49,52,50,32,800,1248,2419,2841
1779387112,1961,57,59,60,68,67,48,52,50,32,800,1420,2419,2841
1779387113,1962,57,59,60,69,67,48,52,50,32,800,1248,2419,2841
1779387115,1964,57,59,60,68,67,48,51,50,32,800,1171,2419,2841
1779387116,1965,57,59,59,68,66,48,51,49,32,800,1420,2419,2841
1779387117,1966,56,59,59,68,66,48,50,49,32,800,1075,2419,2841
1779387118,1967,57,59,61,69,68,48,51,49,32,800,1420,2419,2841
1779387119,1968,55,57,59,67,66,47,50,49,32,800,1420,2419,2841
1779387120,1969,57,58,59,66,66,47,50,49,32,800,1420,2419,2841
1779387121,1970,55,57,59,67,66,48,50,49,32,800,1171,2419,2841
1779387122,1971,60,62,64,70,68,47,51,49,32,800,1248,2419,2841
1779387123,1972,57,59,60,68,67,48,51,49,32,800,1420,2419,2841
1779387124,1973,61,63,65,71,69,49,52,50,32,800,1804,2419,2841
1779387125,1974,61,64,66,72,70,50,52,51,32,800,1804,2419,2841
1779387126,1976,63,65,67,73,72,51,54,54,32,800,1708,2419,2841
1779387128,1977,64,66,68,72,72,53,55,54,32,800,1804,2419,2841
1779387129,1978,59,61,63,71,70,50,53,52,32,800,1171,2419,2841
1779387130,1979,59,61,63,72,69,51,53,51,32,800,1248,2419,2841
1779387131,1980,61,62,63,70,69,50,52,51,32,800,1804,2419,2841
1779387132,1981,59,61,63,71,69,50,52,51,32,800,1612,2419,2841
1779387133,1982,60,62,64,70,69,50,52,51,32,800,1804,2419,2841
1779387134,1983,59,61,62,72,69,51,52,51,32,800,1804,2419,2841
1779387135,1984,61,63,64,70,70,50,53,51,32,800,1420,2419,2841
1779387136,1985,59,61,63,70,67,50,53,51,32,800,1804,2419,2841
1779387137,1986,59,61,63,71,69,49,52,50,32,800,1420,2419,2841
1779387138,1987,58,60,61,70,68,48,52,50,32,800,1248,2419,2841
1779387139,1989,60,61,64,71,69,48,52,50,32,800,1344,2419,2841
1779387141,1990,63,64,66,72,70,48,52,51,32,800,1171,2419,2841
1779387142,1991,61,63,65,70,68,49,52,51,32,800,1804,2419,2841
1779387143,1992,62,64,66,72,69,49,52,50,32,800,1344,2419,2841
1779387144,1993,61,63,65,71,69,48,52,50,32,800,1804,2419,2841
1779387145,1994,63,65,67,74,72,48,52,50,32,800,1804,2419,2841
1779387146,1995,63,66,67,73,72,52,55,54,32,800,1612,2419,2841
1779387147,1996,61,64,66,73,69,54,55,54,32,800,1804,2419,2841
1779387148,1997,61,64,67,72,72,54,56,55,32,800,1344,2419,2841
1779387149,1998,64,66,68,75,73,53,56,54,32,800,1804,2419,2841
1779387150,1999,65,67,70,74,73,53,55,54,32,800,1804,2419,2841
1779387151,2000,64,66,69,75,74,55,56,56,32,800,1804,2419,2841
